,name,city,content,score,date
0,火页,北京,台词矫情的令人发指！,较差,2018-04-23
1,末药煎肉塔,"P&#39;yŏngyang, North Korea",现在还把北京设定为梦想之城的，大概受众也是瞄准了小镇青年吧（多次冲北京喊话真是挺尴尬的）。剧情拖太长，唯一的泪点还是田壮壮演的老爸，周冬雨老演这种角色不会腻吗？,较差,2018-04-23
2,一口吃掉小蛋糕,北京,终于给了井柏然一次证明演技的机会，剧情算得上顺畅，失去你的世界将不再有颜色，这个设定很赞，只不过并不能戳到我。可能是因为我没有可以怀念的人，北漂也没有那么苦，实在是共鸣不能。主题曲没有用到五月天的那首，很遗憾，只能当做是一般故事片来看，电影里并没有我的青春。,推荐,2018-04-25
3,华盛顿樱桃树,北京,最好的是演员，周冬雨完全开辟出自己的戏路。小井进步惊人，已长出美丽。最差的是编剧，没有一场完全连贯的戏，几乎都是攒的。,还行,2018-04-23
4,维维,陕西西安,"荤段子还是挺搞笑
但不懂片的三观
飞机延误住酒店前任俩人进了一间房
假如男主妻子没打电话来谁知道会不会发生啥
后面还牵着手跑
现任绿油油
分手分的不明不白 
挽回时周冬雨的拒绝也让人不明就里
看的真尴尬
唯一看点就是田壮壮
想不通前任片怎么这么火
年轻人更应该学学怎么沟通和表达爱",较差,2018-04-28
5,zaira,浙江杭州,毫无看点可言。剧情处处是硬伤！这是电影吗？这是PPT，刘小姐，还是回去唱歌吧。,很差,2018-04-27
6,影志,北京,卖光盘的地下通道，鼎好电脑城，北京的地下室和隔断房，舍不得打车，老家的辣椒酱…07年的北京汇成一道回忆光景。“幸福不是故事，不幸才是”后来的我们什么都有了，却没了我们。“想不负此生真的很难” 前半段和结尾有抹泪…,推荐,2018-04-23
7,呼叫G2,北京,没有田壮壮的表演 这应该就是崩了吧 符号化的北漂故事 不成熟的认知 生硬的转折 刘若英还是挺活在自己想象里的,较差,2018-04-23
8,俏皮面,北京,最后半小时你哭完我哭、我哭完你哭的观感特别煎熬，结尾用亲情来煽情好鸡贼。这电影就是清理ddrk义务宣传片。,较差,2018-04-23
9,想要多看看,上海,真的很讨厌卖情怀的电影，而且还有一个不是很有才华的歌手做导演，要不是主题曲我应该都不会想看。（留言说我收钱黑的，老子收了一分黑钱我多的钱都亏出去行了吧，就这尴尬的台词乱拼凑的故事还用收钱黑，我真是谢你们大爷了，你不用管我觉得谁有才华，反正这位文青女导演还真不是）,很差,2018-04-28
10,有匪君子,江苏无锡,刘若英实在是太让人惊喜的导演，全篇架构简单却感情真挚细腻，更难得的是在前任的故事再加入了长辈的视角，全篇都没有《后来》反而是一些街角流浪歌手的民谣，好好听，票房超不过前任3我真的要气气气死了！,力荐,2018-04-27
11,基闹,北京,在几个深情告白的段落呼吸沉重，旁边的姑娘一定以为我哭了，我没有，我是翻白眼翻到大喘气。希望今年不会再看到任何台词不说人话的电影了。,较差,2018-04-24
12,桃桃淘电影,"P&#39;yŏngyang, North Korea",我能指出这个片子一大堆问题，但是，还是会被一些细节所感动，就好像周冬雨说i miss you的时候。看完之后，你就明白，这确实是刘若英的电影，整个电影都非常刘若英。另外，这差不多是我看到的最好的周冬雨了。,还行,2018-04-28
13,凌睿,江苏南京,1.羡慕你们长得好看的，坐个火车就能艳遇。不像我，坐火箭都没用。2.周冬雨对69真执着，《奇门遁甲》里扇大鹏69个耳光，《后来的我们》说她69岁。3.为什么现在的电影全是拍北京，可不可以给广州上海成都一个机会？4.应该彩色部分倒叙，黑白部分正叙，至少8.5分。,还行,2018-04-28
14,哪吒男,广东深圳,拜托田壮壮老师多接戏接好戏！！！！太会演太催泪了。,还行,2018-04-24
15,陆支羽,北京,3.5。1.所有“错过就不再”的爱情，总是戒不掉回忆，逃不过遗憾。2.感慨于刘若英的导演处女作，让我们如此活生生、赤裸裸地触探到自己的漂泊处境，我相信任何有故事的人都难免泪目。3.周冬雨和井柏然着实让我刮目相看，而田壮壮是电影的基调。4.后来的我们，终于什么都有了，可是没有了我们。,还行,2018-04-25
16,眠去,山东青岛,"i miss you, i missed you. 田壮壮才是电影的镇海魂啊。“缘分这事，只要不负对方就好，不负此生，太难了……”人生，全在这封信里了。",还行,2018-04-28
17,茶不思,北京,"奶茶的少女心太尬了。男女主无论什么情况下都能突然开启青春疼痛对白。
怕是对能火的网游有什么误解，整个网吧都在打纪念碑谷。。。。
井柏然很赞！！！！！！！！！！
最后，对不起，还有，谢谢你，你比北京美

哈哈哈，感觉最感人的地方是片尾出现的北京站，总是能想起在那里送走的人。",还行,2018-04-28
18,Your MR.R,山东日照,故事是攒出来的。台词是矫情玛丽苏的。故事的设定是刻意为之的。有故事的人不见得会讲故事。,较差,2018-04-28
19,法兰西胶片,北京,7分，文本底子不算创新，三幕的时间感也略统一，但情感始终是沉甸甸的，多次打破小生光圈，能看到刘若英还是有导演意识的。这是40岁后的她，在努力和40岁前的自己保持距离。2007年恰好也是我关键10年的开始，那一年的一系列波折，我决定不再做导演梦，改入编辑部，只与文字为伍。,推荐,2018-04-23
20,有匪君子,江苏无锡,刘若英实在是太让人惊喜的导演，全篇架构简单却感情真挚细腻，更难得的是在前任的故事再加入了长辈的视角，全篇都没有《后来》反而是一些街角流浪歌手的民谣，好好听，票房超不过前任3我真的要气气气死了！,力荐,2018-04-27
21,基闹,北京,在几个深情告白的段落呼吸沉重，旁边的姑娘一定以为我哭了，我没有，我是翻白眼翻到大喘气。希望今年不会再看到任何台词不说人话的电影了。,较差,2018-04-24
22,桃桃淘电影,"P&#39;yŏngyang, North Korea",我能指出这个片子一大堆问题，但是，还是会被一些细节所感动，就好像周冬雨说i miss you的时候。看完之后，你就明白，这确实是刘若英的电影，整个电影都非常刘若英。另外，这差不多是我看到的最好的周冬雨了。,还行,2018-04-28
23,凌睿,江苏南京,1.羡慕你们长得好看的，坐个火车就能艳遇。不像我，坐火箭都没用。2.周冬雨对69真执着，《奇门遁甲》里扇大鹏69个耳光，《后来的我们》说她69岁。3.为什么现在的电影全是拍北京，可不可以给广州上海成都一个机会？4.应该彩色部分倒叙，黑白部分正叙，至少8.5分。,还行,2018-04-28
24,哪吒男,广东深圳,拜托田壮壮老师多接戏接好戏！！！！太会演太催泪了。,还行,2018-04-24
25,陆支羽,北京,3.5。1.所有“错过就不再”的爱情，总是戒不掉回忆，逃不过遗憾。2.感慨于刘若英的导演处女作，让我们如此活生生、赤裸裸地触探到自己的漂泊处境，我相信任何有故事的人都难免泪目。3.周冬雨和井柏然着实让我刮目相看，而田壮壮是电影的基调。4.后来的我们，终于什么都有了，可是没有了我们。,还行,2018-04-25
26,眠去,山东青岛,"i miss you, i missed you. 田壮壮才是电影的镇海魂啊。“缘分这事，只要不负对方就好，不负此生，太难了……”人生，全在这封信里了。",还行,2018-04-28
27,茶不思,北京,"奶茶的少女心太尬了。男女主无论什么情况下都能突然开启青春疼痛对白。
怕是对能火的网游有什么误解，整个网吧都在打纪念碑谷。。。。
井柏然很赞！！！！！！！！！！
最后，对不起，还有，谢谢你，你比北京美

哈哈哈，感觉最感人的地方是片尾出现的北京站，总是能想起在那里送走的人。",还行,2018-04-28
28,Your MR.R,山东日照,故事是攒出来的。台词是矫情玛丽苏的。故事的设定是刻意为之的。有故事的人不见得会讲故事。,较差,2018-04-28
29,法兰西胶片,北京,7分，文本底子不算创新，三幕的时间感也略统一，但情感始终是沉甸甸的，多次打破小生光圈，能看到刘若英还是有导演意识的。这是40岁后的她，在努力和40岁前的自己保持距离。2007年恰好也是我关键10年的开始，那一年的一系列波折，我决定不再做导演梦，改入编辑部，只与文字为伍。,推荐,2018-04-23
30,frozenmoon,北京,不知道多少人看过网飞出品的《蓝色杰伊》，这故事确实让我想起那部有关重逢和错失的电影，同样的黑白影调，同样的当下和过去之间的交缠。如果说哪里不好，或许在出租车上向北京喊话的桥段太尴尬，或许男孩儿最后的成功太浮夸，但细节和情感都还好，带着真实生活的蒸汽和茸毛。,推荐,2018-04-28
